iso_code,location,stringency_index,population,gdp_per_capita,human_development_index,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
AFG,Afghanistan,0.0,38928341,1803.987,0.498,#NUM!,#NUM!,#NUM!,17.4772331,7.497754494
ALB,Albania,36.11,2877800,11803.431,0.785,0.693147181,#NUM!,3.586569835,14.87253667,9.376145531
DZA,Algeria,,43851043,13913.839,0.754,#NUM!,#NUM!,#NUM!,17.59630906,9.540639235
AND,Andorra,0.0,77265,,0.858,0,#NUM!,#NUM!,11.25499635,#NUM!
AGO,Angola,11.11,32866268,5819.495,0.581,0.693147181,#NUM!,2.407845604,17.3079574,8.668968767
AIA,Anguilla,71.3,15002,,,0.693147181,#NUM!,4.266896327,9.615938805,#NUM!
ATG,Antigua and Barbuda,,97928,21490.943,0.78,0,#NUM!,#NUM!,11.49198779,9.97538687
ARG,Argentina,11.11,45195777,18933.907,0.825,#NUM!,#NUM!,2.407845604,17.62651421,9.848709615
ARM,Armenia,,2963234,8787.58,0.755,#NUM!,#NUM!,#NUM!,14.9017918,9.08109464
ABW,Aruba,0.0,106766,35973.781,,0.693147181,#NUM!,#NUM!,11.5783948,10.49054565
AUS,Australia,,25499881,44648.71,0.939,#NUM!,#NUM!,#NUM!,17.05418434,10.70658069
AUT,Austria,,9006400,45436.686,0.908,#NUM!,#NUM!,#NUM!,16.01344599,10.72407512
AZE,Azerbaijan,,10139175,15847.419,0.757,#NUM!,#NUM!,#NUM!,16.13191719,9.670761927
BHS,Bahamas,,393248,27717.847,0.807,0,#NUM!,#NUM!,12.88219574,10.22983178
BHR,Bahrain,,1701583,43290.705,0.846,#NUM!,#NUM!,#NUM!,14.34706955,10.67569323
BGD,Bangladesh,13.89,164689383,3523.984,0.608,#NUM!,#NUM!,2.631169157,18.91957173,8.167347447
BRB,Barbados,38.89,287371,16978.068,0.8,0,#NUM!,3.660737148,12.56852934,9.739677672
BLR,Belarus,,9449321,17167.967,0.808,#NUM!,#NUM!,#NUM!,16.06145345,9.750800543
BEL,Belgium,,11589616,42658.576,0.916,#NUM!,#NUM!,#NUM!,16.26562008,10.66098361
BLZ,Belize,54.63,397621,7824.362,0.708,0,#NUM!,4.000583182,12.89325457,8.964997479
BEN,Benin,27.78,12123198,2064.236,0.515,0,#NUM!,3.324316337,16.31063137,7.632515461
BMU,Bermuda,48.15,62273,50669.315,,0.693147181,#NUM!,3.874321138,11.03928322,10.83307578
BTN,Bhutan,31.48,771612,8708.597,0.612,0,#NUM!,3.449352424,13.55623711,9.072065978
BOL,Bolivia,30.56,11673029,6885.829,0.693,0.693147181,#NUM!,3.419691964,16.27279152,8.837220811
BES,Bonaire Sint Eustatius and Saba,,26221,,,0.693147181,#NUM!,#NUM!,10.1743159,#NUM!
BIH,Bosnia and Herzegovina,11.11,3280815,11713.895,0.768,0.693147181,#NUM!,2.407845604,15.00360243,9.368531023
BWA,Botswana,61.11,2351625,15807.374,0.717,1.098612289,#NUM!,4.112675519,14.67061714,9.668231819
BRA,Brazil,,212559409,14103.452,0.759,#NUM!,#NUM!,#NUM!,19.17473208,9.554174869
VGB,British Virgin Islands,72.22,30237,,,0.693147181,#NUM!,4.279717016,10.31682162,#NUM!
BRN,Brunei,19.44,437483,71809.251,0.853,0,#NUM!,2.967332799,12.98879313,11.18176859
BGR,Bulgaria,21.3,6948445,18563.307,0.813,0.693147181,#NUM!,3.058707073,15.75402845,9.828942169
BFA,Burkina Faso,0.0,20903278,1703.102,0.423,0.693147181,#NUM!,#NUM!,16.85541655,7.440206573
BDI,Burundi,13.89,11890781,702.225,0.417,0.693147181,#NUM!,2.631169157,16.29127395,6.554253865
KHM,Cambodia,,16718971,3645.07,0.582,#NUM!,#NUM!,#NUM!,16.63205462,8.201130849
CMR,Cameroon,0.0,26545864,3364.926,0.556,0,#NUM!,#NUM!,17.09438451,8.121161251
CAN,Canada,,37742157,44017.591,0.926,#NUM!,#NUM!,#NUM!,17.44628825,10.69234463
CPV,Cape Verde,43.52,555988,6222.554,0.654,0.693147181,#NUM!,3.773220603,13.22850199,8.735935712
CYM,Cayman Islands,47.22,65720,49903.029,,0,#NUM!,3.854817532,11.09315857,10.81783698
CAF,Central African Republic,11.11,4829764,661.24,0.367,0,#NUM!,2.407845604,15.39030816,6.49411686
TCD,Chad,27.78,16425859,1768.153,0.404,0,#NUM!,3.324316337,16.61436742,7.477690778
CHL,Chile,0.0,19116209,22767.037,0.843,0,#NUM!,#NUM!,16.76604717,10.03306902
CHN,China,,1439323774,15308.712,0.752,3.295836866,#NUM!,#NUM!,21.08743924,9.636177357
COL,Colombia,12.04,50882884,13254.949,0.747,#NUM!,#NUM!,2.48823444,17.74503716,9.492126271
COM,Comoros,,869595,1413.89,0.503,0,#NUM!,#NUM!,13.67578287,7.25410005
COG,Congo,11.11,5518092,4881.406,0.606,0,#NUM!,2.407845604,15.52354271,8.493188572
CRI,Costa Rica,11.11,5094114,15524.995,0.794,0,#NUM!,2.407845604,15.44359631,9.650206585
CIV,Cote d'Ivoire,11.11,26378275,3601.006,0.492,0,#NUM!,2.407845604,17.08805131,8.18896853
HRV,Croatia,,4105268,22669.797,0.831,#NUM!,#NUM!,#NUM!,15.22778158,10.02878879
CUB,Cuba,13.89,11326616,,0.777,1.098612289,#NUM!,2.631169157,16.24266591,#NUM!
CUW,Curacao,,164100,,,0,#NUM!,#NUM!,12.00823128,#NUM!
CYP,Cyprus,22.22,875899,32415.132,0.869,0.693147181,#NUM!,3.100992784,13.68300607,10.38638063
CZE,Czech Republic,,10708982,32605.906,0.888,#NUM!,#NUM!,#NUM!,16.18659339,10.39224872
COD,Democratic Republic of Congo,11.11,89561404,808.133,0.457,0,#NUM!,2.407845604,18.31043503,6.694726649
DNK,Denmark,,5792203,46682.515,0.929,#NUM!,#NUM!,#NUM!,15.57202326,10.75112496
DJI,Djibouti,33.33,988002,2705.406,0.476,0,#NUM!,3.506457892,13.80344,7.903007272
DMA,Dominica,25.0,71991,9673.367,0.715,0,#NUM!,3.218875825,11.18429639,9.177131718
DOM,Dominican Republic,,10847904,14600.861,0.736,#NUM!,#NUM!,#NUM!,16.19948244,9.588835779
ECU,Ecuador,,17643060,10581.936,0.752,#NUM!,#NUM!,#NUM!,16.68585306,9.266903675
EGY,Egypt,,102334403,10550.206,0.696,#NUM!,#NUM!,#NUM!,18.44375647,9.263900665
SLV,El Salvador,65.74,6486201,7292.458,0.674,0,#NUM!,4.185707568,15.68518756,8.894595942
GNQ,Equatorial Guinea,,1402985,22604.873,0.591,0,#NUM!,#NUM!,14.15411267,10.02592078
ERI,Eritrea,22.22,3546427,1510.459,0.44,0,#NUM!,3.100992784,15.08145118,7.320168857
EST,Estonia,,1326539,29481.252,0.871,#NUM!,#NUM!,#NUM!,14.09808385,10.29150981
ETH,Ethiopia,2.78,114963583,1729.927,0.463,#NUM!,#NUM!,1.022450928,18.56012597,7.45583449
FRO,Faeroe Islands,,48865,,,0,#NUM!,#NUM!,10.79681667,#NUM!
FLK,Falkland Islands,68.52,3483,,,0,#NUM!,4.227125673,8.15564927,#NUM!
FJI,Fiji,11.11,896444,8702.975,0.741,#NUM!,#NUM!,2.407845604,13.7061911,9.0714202
FIN,Finland,,5540718,40585.721,0.92,#NUM!,#NUM!,#NUM!,15.52763465,10.61117158
FRA,France,,65273512,38605.671,0.901,#NUM!,#NUM!,#NUM!,17.99409688,10.56115446
PYF,French Polynesia,,280904,,,1.098612289,#NUM!,#NUM!,12.54576825,#NUM!
GAB,Gabon,33.33,2225728,16562.413,0.702,0,#NUM!,3.506457892,14.61559461,9.71489113
GMB,Gambia,45.37,2416664,1561.767,0.46,0,#NUM!,3.814851094,14.69789863,7.353573152
GEO,Georgia,,3989175,9745.079,0.78,#NUM!,#NUM!,#NUM!,15.199095,9.184517719
DEU,Germany,,83783945,45229.245,0.936,#NUM!,#NUM!,#NUM!,18.24375196,10.71949917
